"","RNA_B11_01","RNA_B11_02","RNA_B11_03","RNA_B11_04","RNA_B11_05","RNA_B11_06","RNA_B11_07","RNA_B11_08","RNA_B11_09","RNA_B11_10","RNA_B11_11","RNA_B11_12","RNA_B11_13","RNA_B11_14","RNA_B11_15","RNA_B11_16","RNA_B11_17","RNA_B11_18","RNA_B11_19","RNA_B11_20","RNA_B11_21","RNA_B11_22","RNA_B11_23","RNA_B11_24"
"(0,0.5]",0,576,1154,517,1098,967,912,1346,1003,0,962,1347,805,1163,731,1067,441,503,328,535,405,369,606,1036
"(0.5,1]",341,864,621,416,685,736,629,997,704,389,768,1114,569,867,514,977,285,379,392,198,266,144,406,1366
"(1,1.5]",55,658,720,551,734,822,580,1159,817,362,1041,940,561,674,633,820,280,486,707,217,376,216,608,1173
"(1.5,2]",39,603,660,506,895,803,627,1043,868,269,860,948,588,786,637,871,334,646,581,432,468,396,492,1275
"(2,2.5]",81,715,836,501,832,869,693,995,839,345,956,1000,642,726,670,913,360,591,776,628,513,557,591,1264
"(2.5,3]",153,862,849,610,901,949,809,979,1073,440,939,908,752,987,750,1009,362,757,784,550,584,502,705,1263
"(3,3.5]",329,871,936,808,954,939,886,893,978,519,948,927,817,992,875,987,389,816,993,678,687,640,775,1254
"(3.5,4]",510,1003,1017,797,999,1052,1075,1015,1030,575,894,1030,912,1026,983,950,495,929,1102,760,835,791,889,1350
"(4,4.5]",386,1043,1096,944,1040,1040,1075,1104,1068,711,1112,1133,1019,1031,1022,1103,569,1026,996,882,938,863,1042,1437
"(4.5,5]",468,1028,1083,1045,1094,1112,1148,1123,1133,836,1109,1197,1055,1086,1107,1149,728,1053,1042,927,1009,1032,1037,1452
"(5,5.5]",531,1089,1127,985,1102,1124,1130,1136,1045,1000,1097,1148,1080,1182,1073,1109,854,1093,1066,970,998,949,1091,1493
"(5.5,6]",613,1022,1000,995,1046,1033,1030,1062,994,938,988,1053,1037,1034,1044,1021,883,990,1056,968,1008,939,1014,1475
"(6,6.5]",660,855,978,911,930,899,911,888,891,936,925,947,917,880,877,916,903,901,912,896,922,849,915,1199
"(6.5,7]",688,722,749,698,727,725,790,749,748,795,796,764,703,751,725,732,745,723,780,720,772,691,752,954
"(7,7.5]",624,502,567,558,563,544,562,523,524,635,543,551,613,523,531,535,613,523,551,560,577,507,531,646
"(7.5,8]",445,387,387,427,367,368,383,380,390,441,383,354,394,392,402,373,445,379,450,393,377,390,358,424
"(8,8.5]",318,244,268,263,289,248,227,265,280,299,275,247,268,248,238,251,322,253,268,246,254,232,232,261
"(8.5,9]",222,149,150,170,157,162,168,154,173,208,165,158,160,170,176,142,216,162,205,152,149,167,143,131
"(9,9.5]",122,97,92,101,84,75,86,88,87,101,85,98,97,88,88,92,91,90,89,109,107,89,92,64
"(9.5,10]",74,47,53,68,62,45,46,42,39,62,62,51,48,48,48,56,66,47,34,43,52,54,58,28
"(10,10.5]",31,24,24,24,17,26,31,25,29,21,24,30,28,25,17,24,37,29,34,29,26,38,28,20
"(10.5,11]",19,15,19,18,18,21,12,20,17,12,22,20,17,25,20,16,12,18,24,20,22,9,12,17
"(11,11.5]",19,10,17,16,19,21,15,13,11,6,7,13,15,15,12,20,15,10,15,16,11,18,10,10
"(11.5,12]",11,15,10,5,6,7,9,9,8,6,7,9,7,9,11,8,6,7,7,11,9,10,15,3
"(12,12.5]",7,3,3,10,8,8,8,7,6,8,9,7,8,5,6,7,9,8,1,5,3,6,1,2
"(12.5,13]",2,4,6,2,5,6,4,3,4,1,5,5,8,5,6,4,1,4,1,5,6,7,5,3
"(13,13.5]",1,5,2,2,2,1,3,6,4,0,4,1,3,1,4,3,1,3,6,2,4,1,3,1
"(13.5,14]",2,1,1,4,2,3,2,0,0,1,1,3,1,2,0,2,2,3,1,2,2,4,3,0
"(14,14.5]",2,0,0,0,1,1,0,2,1,0,1,1,0,2,1,1,2,2,1,1,2,0,1,0
"(14.5,15]",0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2
"(15,15.5]",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"(15.5,16]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(16,16.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
