,HL10_AM,HL15_AM,HL16_AM,HL18_AM,HL19_AM,HL20_AM,HL21_AM,HL23_AM,HL24_AM,HL26_AM,HL27_AM,HL28_AM,HL29_AM,HL30_AM,HL31_AM,HL32_AM,HL33_AM,HL34_AM,HL35A_AM,HL35B_AM,HL36_AM,HL37_AM,HL38_AM,HL39_AM,HL40_AM,HL41_AM,HL42_AM,HL43_AM,HL44_AM,HL45_AM,HL46_AM,HL47_AM,HL48_AM,HL49_AM,HL51_AM,HL53_AM,HL54_AM
"(0,0.25]",0,0,0,0,0,0,2438,0,3972,2568,3070,2498,3158,2859,2886,0,2927,2568,2720,2644,2810,2772,2518,2601,2817,2857,3155,0,2840,3102,4537,3272,3149,3309,3212,3046,3285
"(0.25,0.5]",2448,3241,2319,3485,3549,3609,1156,3575,1325,1843,2405,1885,2263,2150,2050,2559,2272,1957,2187,1348,2003,1934,1879,1186,1336,2144,2363,0,1326,2120,1596,2492,1526,2562,2274,2403,2480
"(0.5,0.75]",1062,689,1118,667,702,755,626,712,898,882,1076,1174,1437,1031,972,1255,1030,822,1022,805,898,905,835,1181,1468,973,1423,0,1343,954,1122,1493,1531,1556,1362,1509,1641
"(0.75,1]",1136,778,662,449,902,509,775,846,548,545,903,666,742,619,634,1325,663,514,892,956,800,713,523,830,489,560,760,0,732,829,714,578,854,830,772,827,879
"(1,1.25]",343,516,480,568,300,733,539,296,615,588,631,532,676,662,633,461,762,517,560,584,478,466,485,340,950,595,493,1886,492,532,618,790,774,545,478,548,577
"(1.25,1.5]",465,386,390,437,682,492,371,702,331,575,443,504,453,606,574,624,680,470,542,430,489,426,455,408,434,414,579,0,540,491,511,519,565,626,582,618,625
"(1.5,1.75]",401,478,575,502,356,542,448,305,370,412,446,494,419,451,437,489,470,371,483,486,380,340,359,415,458,412,402,1161,394,410,444,372,414,389,386,444,481
"(1.75,2]",449,307,414,331,511,446,408,497,334,427,490,487,411,443,409,596,432,352,391,522,412,363,307,420,544,425,388,0,402,344,408,452,438,375,370,402,379
"(2,2.25]",366,382,358,405,328,418,377,313,335,338,408,498,374,327,393,479,398,343,390,429,352,422,327,319,505,408,372,782,430,360,379,391,454,409,355,408,465
"(2.25,2.5]",410,320,463,340,442,378,366,423,341,399,335,406,396,444,448,491,406,301,382,318,293,346,328,410,417,358,326,544,378,393,361,395,383,338,326,365,380
"(2.5,2.75]",375,426,504,414,341,433,388,374,353,429,396,420,353,466,381,536,417,405,411,455,377,413,343,363,388,369,408,446,375,411,362,362,373,422,367,365,441
"(2.75,3]",400,406,405,376,459,398,358,431,404,397,357,456,394,433,388,491,426,374,385,414,373,356,367,390,479,424,385,389,385,366,394,391,351,398,394,398,440
"(3,3.25]",469,433,357,390,401,429,430,380,392,433,419,451,442,417,424,479,447,351,425,415,353,394,367,409,460,380,404,325,366,411,427,426,433,408,415,402,445
"(3.25,3.5]",438,426,510,431,421,424,388,433,463,460,422,510,447,471,446,586,463,410,390,473,449,416,407,456,429,397,399,601,415,387,451,404,424,445,415,462,439
"(3.5,3.75]",520,470,510,482,480,539,498,461,439,465,491,477,469,509,452,582,416,448,458,441,429,424,430,456,513,481,498,554,485,437,449,502,483,468,473,470,526
"(3.75,4]",488,534,516,470,514,472,487,497,512,525,443,525,474,476,469,552,520,472,541,564,481,448,468,464,515,485,492,459,462,490,498,540,459,494,476,498,528
"(4,4.25]",551,519,519,574,500,561,519,523,556,552,534,614,523,568,562,588,575,526,559,540,516,518,536,531,573,538,509,638,498,508,514,509,570,494,497,515,542
"(4.25,4.5]",613,610,584,603,542,546,581,556,579,584,611,559,619,543,594,588,530,553,559,546,538,565,538,563,545,570,545,529,575,532,619,577,541,574,584,585,597
"(4.5,4.75]",556,560,475,570,591,530,525,538,556,576,616,576,583,543,570,618,583,561,595,611,575,600,576,573,591,590,601,607,619,543,599,610,626,567,594,571,609
