Xaxis,HL10_AM,HL15_AM,HL16_AM,HL18_AM,HL19_AM,HL20_AM,HL21_AM,HL23_AM,HL24_AM,HL26_AM,HL27_AM,HL28_AM,HL29_AM,HL30_AM,HL31_AM,HL32_AM,HL33_AM,HL34_AM,HL35A_AM,HL35B_AM,HL36_AM,HL37_AM,HL38_AM,HL39_AM,HL40_AM,HL41_AM,HL42_AM,HL43_AM,HL44_AM,HL45_AM,HL46_AM,HL47_AM,HL48_AM,HL49_AM,HL51_AM,HL53_AM,HL54_AM
13,0.606116662,0.63253174,0.647157359,0.661195099,0.663036484,0.65143138,0.58682276,0.62958446,0.68172179,0.685952673,0.614097105,0.688287913,0.642104994,0.642104994,0.642869996,0.576175838,0.579577839,0.629509778,0.671805702,0.644335116,0.669310252,0.68319065,0.623553241,0.640040019,0.645152435,0.653953768,0.699818586,0.172691075,0.599585817,0.656128923,0.660967156,0.647355067,0.550778014,0.658468599,0.690991783,0.695341902,0.637221903
14,0.594234405,0.615332338,0.62297539,0.641538104,0.631203825,0.625537535,0.577689361,0.612275185,0.659326918,0.652279535,0.589297556,0.654546564,0.616796037,0.616796037,0.624069097,0.578829798,0.551858739,0.588807037,0.636473644,0.62781027,0.644987362,0.658306987,0.6030038,0.62299247,0.608989472,0.619374528,0.669804738,0.100268901,0.599294698,0.62813662,0.642056119,0.637671643,0.54526978,0.643036942,0.660774385,0.681867996,0.609987372
15,0.592506076,0.617266617,0.618605003,0.636127833,0.619148468,0.622796105,0.574745966,0.597787116,0.64510546,0.637328534,0.585718748,0.635827362,0.607491574,0.607491574,0.609012126,0.503873348,0.552216949,0.577187642,0.625554382,0.611201754,0.630398192,0.637632766,0.602719907,0.615732452,0.585672071,0.604457877,0.660615949,0.084677836,0.588615928,0.607314663,0.633543361,0.62142848,0.538693558,0.637080492,0.639768351,0.670059214,0.612494547
16,0.648015123,0.662240478,0.65860601,0.701931825,0.671817345,0.676288549,0.620901063,0.652036558,0.686999563,0.68939948,0.621906907,0.690464446,0.65987131,0.65987131,0.667597328,0.532083205,0.596418958,0.663560415,0.686594937,0.671159751,0.700690946,0.696168283,0.641176406,0.67774867,0.645354282,0.654136759,0.718384018,0.105698624,0.632363158,0.673264945,0.672589519,0.675818852,0.588410056,0.682559366,0.704593554,0.717392043,0.642222477
17,0.670712935,0.692023898,0.683291771,0.718859488,0.699756449,0.693581828,0.640033132,0.69099712,0.701016566,0.717654391,0.650126327,0.727963874,0.684827903,0.684827903,0.688011888,0.555179834,0.628057292,0.684283606,0.702246069,0.695181439,0.718834692,0.719382378,0.662342767,0.691906693,0.670996964,0.673899698,0.740588469,0.18114593,0.654388948,0.701549783,0.699738432,0.69496258,0.618689157,0.705129224,0.719450593,0.756033948,0.661788543
18,0.685025655,0.706101568,0.703115948,0.751495325,0.709058623,0.718577221,0.654446893,0.699592982,0.718794576,0.72338423,0.659350115,0.748869779,0.702303136,0.702303136,0.702279442,0.589835024,0.642696475,0.688972032,0.71718371,0.712266874,0.735603394,0.738617929,0.679288959,0.7073548,0.674000452,0.686402059,0.752970791,0.127908781,0.670532814,0.721305614,0.716776834,0.724057476,0.640650891,0.730316953,0.734865529,0.773874555,0.685854667
19,0.794247907,0.815952203,0.821393486,0.888832969,0.834727573,0.815556272,0.750181189,0.787153227,0.815149584,0.83590148,0.736127324,0.829401504,0.810734348,0.810734348,0.832196611,0.61223486,0.712779127,0.789009214,0.826479066,0.830132952,0.852767492,0.842012717,0.766847921,0.824647201,0.78491151,0.770725113,0.858813616,0.174759541,0.754646324,0.815982786,0.791970003,0.809257583,0.720387583,0.812530802,0.85909463,0.852398712,0.762268396
20,0.84994599,0.897976102,0.872074863,0.969115968,0.915302972,0.866361039,0.815963851,0.84321735,0.868469351,0.89506954,0.799477154,0.883372406,0.862874068,0.862874068,0.89333581,0.632677528,0.761658932,0.850202758,0.884574331,0.90453241,0.928805765,0.898020201,0.839311452,0.894818598,0.842849761,0.808072818,0.904784396,0.203614645,0.810137554,0.874782224,0.822615075,0.857266712,0.777249896,0.848195312,0.921124284,0.885123482,0.804463322
21,0.851444775,0.885070948,0.865361848,0.941300014,0.90850147,0.860732277,0.802740759,0.836810862,0.875320946,0.909950587,0.805165979,0.89643669,0.900229803,0.900229803,0.925638064,0.667927042,0.775903031,0.901362955,0.9154485,0.904339968,0.947240496,0.909351947,0.850028389,0.897339529,0.842413771,0.812039573,0.929838874,0.273270245,0.798869929,0.892912864,0.832240247,0.857655579,0.75589012,0.85559848,0.943033868,0.917801527,0.822977844
22,0.822360248,0.856318148,0.839404015,0.911267687,0.873345443,0.845773437,0.796225355,0.808760433,0.838015177,0.858286645,0.78172561,0.864622692,0.824716576,0.824716576,0.837687704,0.652812788,0.716761575,0.813444802,0.843443021,0.857359204,0.878762117,0.852012362,0.817724712,0.852324785,0.813646493,0.777383595,0.877990919,0.211629951,0.779272335,0.840555686,0.795247115,0.824060026,0.741689105,0.826738314,0.871083351,0.851689336,0.75701986
