"","RNA_B11_01","RNA_B11_02","RNA_B11_03","RNA_B11_04","RNA_B11_05","RNA_B11_06","RNA_B11_07","RNA_B11_08","RNA_B11_09","RNA_B11_10","RNA_B11_11","RNA_B11_12","RNA_B11_13","RNA_B11_14","RNA_B11_15","RNA_B11_16","RNA_B11_17","RNA_B11_18","RNA_B11_19","RNA_B11_20","RNA_B11_21","RNA_B11_22","RNA_B11_23","RNA_B11_24"
"(0,0.25]",0,0,580,349,526,626,450,608,624,0,492,628,417,602,463,532,0,307,0,340,296,283,333,604
"(0.25,0.5]",0,576,574,168,572,341,462,738,379,0,470,719,388,561,268,535,441,196,328,195,109,86,273,432
"(0.5,0.75]",273,633,347,217,367,264,302,545,284,389,407,531,273,409,355,566,115,170,213,97,150,85,196,720
"(0.75,1]",68,231,274,199,318,472,327,452,420,0,361,583,296,458,159,411,170,209,179,101,116,59,210,646
"(1,1.25]",30,339,341,296,394,369,279,568,351,199,507,474,268,310,419,462,153,242,342,106,173,88,262,519
"(1.25,1.5]",25,319,379,255,340,453,301,591,466,163,534,466,293,364,214,358,127,244,365,111,203,128,346,654
"(1.5,1.75]",21,270,286,250,441,383,339,505,391,140,485,443,255,333,301,442,176,380,316,215,182,140,241,669
"(1.75,2]",18,333,374,256,454,420,288,538,477,129,375,505,333,453,336,429,158,266,265,217,286,256,251,606
"(2,2.25]",43,338,381,237,360,421,289,530,410,129,480,566,299,355,351,454,159,271,375,278,266,299,272,639
"(2.25,2.5]",38,377,455,264,472,448,404,465,429,216,476,434,343,371,319,459,201,320,401,350,247,258,319,625
"(2.5,2.75]",55,430,427,319,468,440,363,514,488,220,469,470,379,495,349,531,167,399,346,297,300,230,371,684
"(2.75,3]",98,432,422,291,433,509,446,465,585,220,470,438,373,492,401,478,195,358,438,253,284,272,334,579
"(3,3.25]",160,422,458,386,468,478,455,446,451,272,495,447,411,492,468,504,190,377,489,312,324,305,378,649
"(3.25,3.5]",169,449,478,422,486,461,431,447,527,247,453,480,406,500,407,483,199,439,504,366,363,335,397,605
"(3.5,3.75]",243,522,491,399,486,524,525,525,511,260,430,520,427,505,477,469,245,462,576,387,401,397,455,640
"(3.75,4]",267,481,526,398,513,528,550,490,519,315,464,510,485,521,506,481,250,467,526,373,434,394,434,710
"(4,4.25]",176,565,529,464,526,525,540,531,519,387,547,578,522,492,500,541,290,494,497,458,472,402,547,709
"(4.25,4.5]",210,478,567,480,514,515,535,573,549,324,565,555,497,539,522,562,279,532,499,424,466,461,495,728
"(4.5,4.75]",193,531,519,542,561,572,575,544,565,389,570,581,547,553,572,600,348,516,494,457,479,491,508,712
"(4.75,5]",275,497,564,503,533,540,573,579,568,447,539,616,508,533,535,549,380,537,548,470,530,541,529,740
"(5,5.25]",259,554,556,518,575,550,561,593,518,530,555,601,567,596,549,558,415,544,517,505,510,448,522,756
"(5.25,5.5]",272,535,571,467,527,574,569,543,527,470,542,547,513,586,524,551,439,549,549,465,488,501,569,737
"(5.5,5.75]",312,555,507,510,544,529,510,502,498,493,510,548,507,558,569,528,425,496,520,481,496,498,519,775
"(5.75,6]",301,467,493,485,502,504,520,560,496,445,478,505,530,476,475,493,458,494,536,487,512,441,495,700
"(6,6.25]",332,448,499,474,464,483,466,457,459,504,507,498,491,464,456,485,435,459,479,431,456,427,492,617
"(6.25,6.5]",328,407,479,437,466,416,445,431,432,432,418,449,426,416,421,431,468,442,433,465,466,422,423,582
"(6.5,6.75]",337,373,412,387,373,374,422,411,408,434,411,406,365,397,409,384,377,359,394,362,412,365,388,514
"(6.75,7]",351,349,337,311,354,351,368,338,340,361,385,358,338,354,316,348,368,364,386,358,360,326,364,440
"(7,7.25]",326,266,314,307,307,270,316,288,267,333,298,305,324,271,276,292,325,273,298,309,327,267,296,342
"(7.25,7.5]",298,236,253,251,256,274,246,235,257,302,245,246,289,252,255,243,288,250,253,251,250,240,235,304
"(7.5,7.75]",233,212,206,230,194,219,203,216,222,242,199,183,224,211,231,214,227,210,241,204,208,227,189,240
"(7.75,8]",212,175,181,197,173,149,180,164,168,199,184,171,170,181,171,159,218,169,209,189,169,163,169,184
"(8,8.25]",185,136,149,155,162,153,132,157,164,146,162,148,135,140,132,140,179,151,163,128,143,137,126,155
