"","RNA_B11_01","RNA_B11_02","RNA_B11_03","RNA_B11_04","RNA_B11_05","RNA_B11_06","RNA_B11_07","RNA_B11_08","RNA_B11_09","RNA_B11_10","RNA_B11_11","RNA_B11_12","RNA_B11_13","RNA_B11_14","RNA_B11_15","RNA_B11_16","RNA_B11_17","RNA_B11_18","RNA_B11_19","RNA_B11_20","RNA_B11_21","RNA_B11_22","RNA_B11_23","RNA_B11_24"
"(8.25,8.5]",133,108,119,108,127,95,95,108,116,153,113,99,133,108,106,111,143,102,105,118,111,95,106,106
"(8.5,8.75]",115,79,81,93,96,87,103,81,99,109,91,94,86,98,98,73,112,91,119,91,89,100,77,71
"(8.75,9]",107,70,69,77,61,75,65,73,74,99,74,64,74,72,78,69,104,71,86,61,60,67,66,60
"(9,9.25]",66,55,53,53,58,46,50,49,47,59,55,64,54,45,56,44,56,54,52,57,66,52,53,31
"(9.25,9.5]",56,42,39,48,26,29,36,39,40,42,30,34,43,43,32,48,35,36,37,52,41,37,39,33
"(9.5,9.75]",36,33,27,39,33,29,27,29,21,34,41,31,29,29,23,32,39,29,18,30,37,33,34,20
"(9.75,10]",38,14,26,29,29,16,19,13,18,28,21,20,19,19,25,24,27,18,16,13,15,21,24,8
"(10,10.2]",17,14,15,13,9,13,17,13,17,15,9,20,16,12,10,12,22,13,15,16,11,21,20,8
"(10.2,10.5]",14,10,9,11,8,13,14,12,12,6,15,10,12,13,7,12,15,16,19,13,15,17,8,12
"(10.5,10.8]",11,8,13,10,10,11,4,9,9,7,17,11,10,12,12,8,5,10,13,11,13,6,6,8
"(10.8,11]",8,7,6,8,8,10,8,11,8,5,5,9,7,13,8,8,7,8,11,9,9,3,6,9
"(11,11.2]",9,4,10,7,9,12,9,9,8,4,3,7,8,9,4,11,9,5,9,12,5,5,6,5
"(11.2,11.5]",10,6,7,9,10,9,6,4,3,2,4,6,7,6,8,9,6,5,6,4,6,13,4,5
"(11.5,11.8]",6,7,7,4,4,2,6,3,4,4,5,3,5,5,4,3,4,2,5,5,6,7,9,1
"(11.8,12]",5,8,3,1,2,5,3,6,4,2,2,6,2,4,7,5,2,5,2,6,3,3,6,2
"(12,12.2]",6,2,2,4,2,6,6,4,4,3,7,5,7,1,1,3,7,3,0,2,2,2,1,2
"(12.2,12.5]",1,1,1,6,6,2,2,3,2,5,2,2,1,4,5,4,2,5,1,3,1,4,0,0
"(12.5,12.8]",1,3,2,0,2,3,2,2,1,0,4,4,2,4,3,2,0,3,0,3,4,5,4,1
"(12.8,13]",1,1,4,2,3,3,2,1,3,1,1,1,6,1,3,2,1,1,1,2,2,2,1,2
"(13,13.2]",0,3,1,2,1,1,0,5,4,0,1,0,2,0,2,1,1,0,3,0,2,1,1,1
"(13.2,13.5]",1,2,1,0,1,0,3,1,0,0,3,1,1,1,2,2,0,3,3,2,2,0,2,0
"(13.5,13.8]",1,0,0,2,2,2,1,0,0,0,1,3,0,2,0,1,2,2,1,2,2,2,1,0
"(13.8,14]",1,1,1,2,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,2,0
"(14,14.2]",1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,2,1,1,2,0,0,0
"(14.2,14.5]",1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"(14.5,14.8]",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"(14.8,15]",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"(15,15.2]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"(15.2,15.5]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(15.5,15.8]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(15.8,16]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(16,16.2]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(16.2,16.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
