Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Batch,_gbc_pvals,GBC_KSstats,_hist_pvals,NumGenes
RNA_B11_01,14483315,89.76,3795508,29.195713344112015,59.74,844284,3.27,10.516,0.0,0.901,batch_11,0.022684980452587843,0.16,0.006006279461486288,6753
RNA_B11_02,19240007,99.5,7933192,41.439991609317815,56.09,1028735,0.12,1.641,0.11,0.072,batch_11,0.0835658362676755,0.14,0.47109682443238643,13416
RNA_B11_03,17618597,99.67,12248076,69.74805357069057,64.96,1885775,1.07,1.059,0.7,0.055,batch_11,0.6835708886221243,0.08,0.3212349908286394,14426
RNA_B11_04,18898641,99.39,10313620,54.90828259642425,66.33,1673395,0.99,1.458,0.57,0.079,batch_11,0.6835708886221243,0.08,0.310191018067795,11952
RNA_B11_05,16252007,99.81,11113870,68.5147782082905,66.46,1793076,1.47,0.747,1.04,0.036,batch_11,0.7845265233678727,0.07,0.2925034587160052,14637
RNA_B11_06,19581963,99.5,9807225,50.33462445868396,58.3,1522912,0.39,2.186,0.25,0.066,batch_11,0.7845265233678727,0.07,0.2966492126935163,14606
RNA_B11_07,20102526,99.57,13656227,68.22626355609154,62.24,2191698,1.15,1.272,0.69,0.065,batch_11,0.4435316202641788,0.1,0.4045379044444139,13852
RNA_B11_08,19549367,99.9,12375244,63.365896356805976,63.81,1436186,0.78,0.6,0.4,0.028,batch_11,0.7845265233678727,0.07,0.13900100049575992,16026
RNA_B11_09,19410647,99.71,11265066,58.204292243055214,50.98,1307288,0.3,1.039,0.27,0.055,batch_11,0.3256756576819487,0.11,0.2756773053423237,14765
RNA_B11_10,18355006,99.54,4185611,22.90902976235552,43.92,396671,0.0,1.182,0.0,0.054,batch_11,0.004384421295431793,0.18,0.09953438363945766,9918
RNA_B11_11,19786204,99.85,13238002,67.0057219325641,57.87,2202802,0.92,0.442,0.68,0.023,batch_11,0.7845265233678727,0.07,0.24754881495697767,14988
RNA_B11_12,17364191,99.91,12268782,70.71929726219562,67.83,1660665,1.53,0.43,0.91,0.02,batch_11,0.4435316202641788,0.1,0.14089973609220885,16004
RNA_B11_13,18621014,99.76,12518059,67.38717139187912,67.58,1460716,0.83,0.491,0.4,0.03,batch_11,0.5666467079692518,0.09,0.4837511484622912,13124
RNA_B11_14,20808156,99.87,12734677,61.2800751288035,65.76,1586232,0.64,0.467,0.37,0.028,batch_11,0.6835708886221243,0.08,0.2785351472291915,14743
RNA_B11_15,21578269,99.88,9538865,44.25899681975678,61.73,1459467,0.49,0.405,0.25,0.021,batch_11,0.9203309574823186,0.05,0.4958158553589553,13202
RNA_B11_16,20475137,99.89,13988444,68.39440553221384,67.47,1600584,0.89,0.378,0.53,0.019,batch_11,0.14194656457236743,0.13,0.2271820912583501,15158
RNA_B11_17,16451579,99.1,8542164,52.39461619505144,60.59,1095721,0.36,0.974,0.13,0.089,batch_11,0.0835658362676755,0.14,0.0722109705101628,9466
RNA_B11_18,17816674,99.87,12960819,72.84013838383132,62.2,696677,0.51,0.226,0.34,0.011,batch_11,0.8637747395378008,0.06,0.37846083737249536,12431
RNA_B11_19,14858711,99.92,7272909,48.9862948783947,54.13,275143,0.1,0.217,0.0,0.009,batch_11,0.8637747395378008,0.06,0.4958158553589553,13202
RNA_B11_20,18643287,98.93,12004354,65.0861075688733,67.01,1369732,1.98,1.535,1.42,0.053,batch_11,0.5666467079692518,0.09,0.1889927638212019,10956
RNA_B11_21,18831137,99.9,9619636,51.134805430310784,68.29,744400,0.48,0.296,0.35,0.013,batch_11,0.6835708886221243,0.08,0.23687614529368906,11382
RNA_B11_22,17879879,99.79,9333764,52.31246896537239,72.27,763953,1.16,0.437,0.81,0.019,batch_11,0.4435316202641788,0.1,0.1423716614660534,10471
RNA_B11_23,20690559,99.79,12293651,59.54175523335064,62.75,1042760,0.47,0.39,0.22,0.02,batch_11,0.5666467079692518,0.09,0.37625041640859147,12416
RNA_B11_24,16328618,99.95,12736145,78.03793473598968,51.0,471964,0.44,0.122,0.3,0.006,batch_11,0.5666467079692518,0.09,0.0067145660079128006,19603
