Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Batch,_gbc_pvals,GBC_KSstats,_hist_pvals,NumGenes
RNA_B01_11,19883412.0,97.06,13605101.0,70.49698956266067,62.52,2988231.0,0.78,7.377,0.46,0.179,batch_01,0.5749037124841687,0.1,0.2925975652624798,15672.0
RNA_B01_12,17699319.0,91.85,10786841.0,66.35269390405679,55.4,2780722.0,2.22,13.367,0.6,0.376,batch_01,0.6243985690243574,0.09,0.49956354940956454,14001.0
RNA_B01_13,15615657.0,92.88,8985729.0,61.954213604589626,57.48,2236312.0,2.47,10.61,0.78,0.358,batch_01,0.5241976481720823,0.11,0.196022123282578,11372.0
RNA_B01_14,21553137.0,98.34,3974286.0,18.75074049910015,60.59,802117.0,0.0,4.7,0.0,0.098,batch_01,0.05417421979195347,0.24,0.30764029891503686,12456.0
RNA_B01_15,20237162.0,95.15,12451898.0,64.66617208061542,58.32,3749498.0,1.52,10.62,1.02,0.232,batch_01,0.6243985690243574,0.09,0.22853386371890988,16279.0
RNA_B01_16,17024073.0,88.16,9156978.0,61.0122605711594,55.06,2982247.0,4.17,15.782,0.82,0.511,batch_01,0.5749037124841687,0.1,0.32246234273112045,12584.0
RNA_B01_17,17480242.0,99.43,12273420.0,70.61561014657212,63.2,1793012.0,1.39,1.452,0.93,0.059,batch_01,0.6719249106542564,0.08,0.3089022616307896,12467.0
RNA_B01_18,16896127.0,96.16,10330782.0,63.584546370625304,58.05,2778139.0,1.7,7.136,1.03,0.254,batch_01,0.7168183469811907,0.07,0.4240426191176315,13410.0
RNA_B01_19,21992858.0,97.99,13745109.0,63.78003604845611,57.83,3583503.0,1.5,5.169,0.85,0.172,batch_01,0.5749037124841687,0.1,0.48522415496441046,13884.0
RNA_B01_20,31505960.0,99.54,22073131.0,70.38394204934895,65.86,3251605.0,1.63,1.476,0.86,0.052,batch_01,0.3730253578520104,0.14,0.4009854517050498,14767.0
RNA_B01_21,20637726.0,99.67,13830941.0,67.23964754128284,61.24,1826650.0,0.73,1.503,0.41,0.049,batch_01,0.5749037124841687,0.1,0.18254796864599715,16776.0
RNA_B01_22,18437150.0,99.46,12376192.0,67.49083391925595,60.4,2142791.0,1.97,1.453,1.03,0.055,batch_01,0.4730961202940454,0.12,0.40309297863839477,13245.0
RNA_B01_23,26935623.0,99.52,18349320.0,68.45143898623901,61.83,3245627.0,1.09,2.7,0.81,0.059,batch_01,0.2393502828005165,0.17,0.007074342649812407,21524.0
RNA_B01_24,20324338.0,99.31,15359516.0,76.09710588238347,51.13,1709125.0,0.4,2.463,0.27,0.078,batch_01,0.2808854564089527,0.16,0.0002175688380178737,24789.0
RNA_B02_01,17391923.0,99.19,11997930.0,69.54899032986823,58.76,2822784.0,1.65,2.682,1.26,0.112,batch_02,0.5241976481720823,0.11,0.4651078605372833,13729.0
RNA_B02_02,15196888.0,97.62,8572040.0,57.781754249757896,47.94,2204683.0,0.83,7.315,0.43,0.205,batch_02,0.3256229145575784,0.15,0.1293809875119556,17462.0
RNA_B02_03,15393593.0,96.85,4794797.0,32.16107820120497,42.47,1759777.0,0.33,10.648,0.18,0.217,batch_02,0.08862048250187499,0.22,0.25727909343689714,15997.0
RNA_B02_04,16457028.0,97.6,4934456.0,30.721191468880125,49.27,1742416.0,0.31,8.607,0.17,0.186,batch_02,0.42243415688572034,0.13,0.1982193881452085,16599.0
RNA_B02_05,15785991.0,86.98,8039794.0,58.55360881554534,55.57,2670767.0,5.64,14.699,1.62,0.704,batch_02,0.5241976481720823,0.11,0.1432459032434344,10728.0
RNA_B02_06,15398372.0,96.9,6079035.0,40.74141040292145,43.85,2375838.0,0.55,10.276,0.22,0.226,batch_02,0.5749037124841687,0.1,0.1863695556363561,16732.0
RNA_B02_07,17304812.0,84.95,7344719.0,49.96258684892877,37.91,3581220.0,5.2,24.096,0.59,0.669,batch_02,0.3256229145575784,0.15,0.2622463330951401,15950.0
RNA_B02_08,14188374.0,82.12,6940542.0,59.56783531130275,44.29,2981716.0,5.64,21.413,0.61,0.946,batch_02,0.5241976481720823,0.11,0.2607616086864425,15964.0
RNA_B02_09,18422400.0,99.3,11603123.0,63.42776957374542,61.99,2758466.0,2.27,2.426,1.42,0.091,batch_02,0.6243985690243574,0.09,0.4708114809868765,13773.0
RNA_B02_10,18642543.0,95.91,9319677.0,52.12328952383852,53.6,3414129.0,1.63,9.788,0.94,0.321,batch_02,0.7585346160952503,0.06,0.40237231621044,14756.0
RNA_B02_11,19351483.0,96.83,11386215.0,60.765236914280116,51.99,4112385.0,2.0,9.371,1.21,0.292,batch_02,0.5241976481720823,0.11,0.34718710226843336,15203.0
RNA_B02_12,21692467.0,98.17,14171733.0,66.5480332681944,60.08,3415792.0,1.27,5.385,0.93,0.158,batch_02,0.7168183469811907,0.07,0.2595980811470856,15975.0
RNA_B02_13,20645356.0,96.18,11305084.0,56.93333768355795,52.58,3848925.0,1.24,9.743,0.8,0.278,batch_02,0.6719249106542564,0.08,0.21315692264786645,16438.0
RNA_B02_14,21881539.0,97.2,12879780.0,60.55699495879062,58.32,3623205.0,1.16,7.41,1.01,0.18,batch_02,0.3256229145575784,0.15,0.20844906593577356,16488.0
RNA_B02_15,17735559.0,96.59,9648143.0,56.320523677735245,52.76,3153178.0,1.13,10.359,0.87,0.203,batch_02,0.6719249106542564,0.08,0.10465271003907711,17849.0
RNA_B02_16,20191518.0,95.9,12314029.0,63.59348044607092,54.76,3817681.0,2.3,9.37,1.1,0.233,batch_02,0.5241976481720823,0.11,0.34778923014706387,15198.0
RNA_B02_17,18734785.0,99.48,12625101.0,67.74080776694518,64.52,2805763.0,2.09,2.009,1.39,0.085,batch_02,0.6243985690243574,0.09,0.4790255570121178,14159.0
RNA_B02_18,21030942.0,99.39,4677703.0,22.378513116030454,55.04,823368.0,0.11,2.127,0.0,0.082,batch_02,0.2393502828005165,0.17,0.26927261867499075,12111.0
RNA_B02_19,17523733.0,99.67,8122402.0,46.50433028407237,60.18,1403824.0,0.58,1.829,0.41,0.06,batch_02,0.6243985690243574,0.09,0.2254878483567304,16310.0
RNA_B02_20,17050089.0,99.58,10950670.0,64.49735716073931,59.14,2040999.0,1.16,1.817,0.85,0.066,batch_02,0.7168183469811907,0.07,0.2295213576561822,16269.0
RNA_B02_21,20029512.0,99.15,13990200.0,70.44672959250013,61.77,2571453.0,1.2,2.571,1.08,0.095,batch_02,0.5241976481720823,0.11,0.30026266847714356,15604.0
RNA_B02_22,18791415.0,99.59,12105988.0,64.68819346627183,65.39,2093991.0,1.14,2.032,0.8,0.072,batch_02,0.42243415688572034,0.13,0.15726203880153344,17083.0
RNA_B02_23,20147430.0,99.52,12933967.0,64.50623964193925,65.78,2518242.0,1.58,1.77,1.09,0.063,batch_02,0.7168183469811907,0.07,0.35759625639335657,15117.0
RNA_B02_24,18847142.0,99.83,15225767.0,80.9231175808948,48.88,1091523.0,0.16,0.732,0.14,0.032,batch_02,0.4730961202940454,0.12,0.0002703119478498651,24611.0
RNA_B03_01,20524040.0,99.92,11407694.0,55.62660890336198,72.79,999539.0,1.18,0.317,0.7,0.01,batch_03,0.7168183469811907,0.07,0.4327797926793436,14517.0
