0,1,2,3,4,5,6,7,8,Sample
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RNA_B02_06
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,RNA_B02_07
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,RNA_B02_08
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B02_09
0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,RNA_B02_10
0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,RNA_B02_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B02_12
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RNA_B02_13
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,RNA_B02_14
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RNA_B02_15
0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,RNA_B02_16
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B02_17
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B02_18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B02_19
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B02_20
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B02_21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B02_22
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B02_23
0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,RNA_B02_24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_01
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B03_02
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B03_03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_09
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B03_10
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B03_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_17
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_18
0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,RNA_B03_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B03_20
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B03_21
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B03_22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B03_23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_01
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B04_02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_08
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_09
